rank,title,release_year,content_rating,rating,runtime_minutes,rating_scaled
119,Indiana Jones and the Last Crusade,1989,PG-13,8.2,127,82.0
120,Metropolis,1927,Not Rated,8.3,153,83.0
121,Snatch,2000,R,8.2,102,82.0
122,1917,2019,R,8.2,119,82.0
123,L.A. Confidential,1997,R,8.2,138,82.0
124,Bicycle Thieves,1948,Not Rated,8.3,89,83.0
125,Downfall,2004,R,8.2,156,82.0
126,Hamilton,2020,PG-13,8.3,160,83.0
127,Taxi Driver,1976,R,8.2,114,82.0
128,Dangal,2016,Not Rated,8.3,161,83.0
129,The Wolf of Wall Street,2013,R,8.2,180,82.0
130,Batman Begins,2005,PG-13,8.2,140,82.0
131,For a Few Dollars More,1965,R,8.2,132,82.0
132,Green Book,2018,PG-13,8.2,130,82.0
133,Some Like It Hot,1959,Approved,8.2,121,82.0
134,The Truman Show,1998,PG,8.2,103,82.0
135,Judgment at Nuremberg,1961,Approved,8.3,179,83.0
136,The Kid,1921,Passed,8.2,68,82.0
137,The Father,2020,PG-13,8.2,97,82.0
138,Shutter Island,2010,R,8.2,138,82.0
139,All About Eve,1950,Approved,8.2,138,82.0
140,There Will Be Blood,2007,R,8.2,158,82.0
141,Jurassic Park,1993,PG-13,8.2,127,82.0
142,Casino,1995,R,8.2,178,82.0
143,Top Gun: Maverick,2022,PG-13,8.2,130,82.0
144,The Sixth Sense,1999,PG-13,8.2,107,82.0
145,Ran,1985,R,8.2,160,82.0
146,Pan's Labyrinth,2006,R,8.2,118,82.0
147,No Country for Old Men,2007,R,8.2,122,82.0
148,Unforgiven,1992,R,8.2,130,82.0
149,The Thing,1982,R,8.2,109,82.0
150,A Beautiful Mind,2001,PG-13,8.2,135,82.0
151,The Wild Robot,2024,PG,8.3,102,83.0
152,Kill Bill: Vol. 1,2003,R,8.2,111,82.0
153,The Treasure of the Sierra Madre,1948,Approved,8.2,126,82.0
154,Yojimbo,1961,Not Rated,8.2,110,82.0
155,The Great Escape,1963,Approved,8.2,172,82.0
156,Prisoners,2013,R,8.2,153,82.0
157,Finding Nemo,2003,G,8.2,100,82.0
158,Monty Python and the Holy Grail,1975,PG,8.2,91,82.0
159,Howl's Moving Castle,2004,PG,8.2,119,82.0
160,The Elephant Man,1980,PG,8.2,124,82.0
161,Rashomon,1950,Not Rated,8.2,88,82.0
162,Dial M for Murder,1954,PG,8.2,105,82.0
163,Gone with the Wind,1939,G,8.2,238,82.0
164,Chinatown,1974,R,8.1,130,81.0
165,The Secret in Their Eyes,2009,R,8.2,129,82.0
166,"Lock, Stock and Two Smoking Barrels",1998,R,8.1,107,81.0
167,Inside Out,2015,PG,8.1,95,81.0
168,V for Vendetta,2005,R,8.1,132,81.0
169,"Three Billboards Outside Ebbing, Missouri",2017,R,8.1,115,81.0
170,Raging Bull,1980,R,8.1,129,81.0
171,Klaus,2019,PG,8.2,96,82.0
172,Trainspotting,1996,R,8.1,93,81.0
173,The Bridge on the River Kwai,1957,PG,8.1,161,81.0
174,Catch Me If You Can,2002,PG-13,8.1,141,81.0
175,Fargo,1996,R,8.1,98,81.0
176,Warrior,2011,PG-13,8.1,140,81.0
177,Spider-Man: No Way Home,2021,PG-13,8.2,148,82.0
178,Gran Torino,2008,R,8.1,116,81.0
179,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,8.1,130,81.0
180,Million Dollar Baby,2004,PG-13,8.1,132,81.0
181,My Neighbor Totoro,1988,G,8.1,86,81.0
182,Mad Max: Fury Road,2015,R,8.1,120,81.0
183,Ben-Hur,1959,G,8.1,212,81.0
184,Children of Heaven,1997,PG,8.2,89,82.0
185,Barry Lyndon,1975,PG,8.1,185,81.0
186,12 Years a Slave,2013,R,8.1,134,81.0
187,Blade Runner,1982,R,8.1,117,81.0
188,Before Sunrise,1995,R,8.1,101,81.0
189,The Grand Budapest Hotel,2014,R,8.1,99,81.0
